t,bpm
799,149
800,149
801,149
802,149
803,149
804,149
805,149
806,150
807,149
808,148
809,146
810,144
811,143
812,142
813,141
814,141
815,140
816,140
817,139
818,139
819,140
820,140
821,141
822,142
823,142
824,144
825,146
826,147
827,147
828,148
829,148
830,148
831,149
832,148
833,148
834,150
835,150
836,151
837,152
838,152
839,151
840,150
841,149
842,148
843,147
844,146
845,144
846,143
847,143
848,143
849,142
850,142
851,144
852,147
853,146
854,146
855,145
856,145
857,143
858,143
859,142
860,140
861,137
862,137
863,137
864,138
865,138
866,140
867,142
868,142
869,142
870,142
871,142
872,143
873,142
874,142
875,141
876,140
877,140
878,140
879,140
880,139
881,138
882,137
883,137
884,137
885,136
886,135
887,135
888,137
889,137
890,137
891,138
892,134
893,132
894,132
895,130
896,126
897,120
898,119
899,118
900,118
901,117
902,117
903,116
904,116
905,115
906,115
907,114
908,112
909,111
910,110
911,109
912,110
913,110
914,109
915,109
916,108
917,108
918,107
919,108
920,108
921,108
922,109
923,108
924,108
925,107
926,107
927,107
928,107
929,108
930,108
931,107
932,107
933,106
934,106
935,107
936,106
937,107
938,107
939,108
940,108
941,108
942,109
943,109
944,109
945,109
946,109
947,109
948,109
949,108
950,109
951,109
952,109
953,109
954,109
955,109
956,109
957,109
958,110
959,111
960,112
961,112
962,113
963,113
964,113
965,114
966,114
967,113
968,113
969,113
970,113
971,112
972,113
973,112
974,113
975,113
976,113
977,111
978,110
979,109
980,109
981,109
982,109
983,109
984,109
985,110
986,110
987,110
988,110
989,110
990,113
991,112
992,111
993,114
994,114
995,113
996,110
997,110
998,111
999,112
1000,113
1001,114
1002,111
1003,109
1004,109
1005,111
1006,110
1007,109
1008,108
1009,107
1010,109
1011,110
1012,110
1013,107
1014,106
1015,105
1016,104
1017,104
1018,104
1019,103
1020,104
1021,102
1022,101
1023,100
1024,101
1025,101
1026,102
1027,102
1028,102
1029,100
1030,100
1031,99
1032,100
1033,100
1034,99
1035,101
1036,103
1037,106
1038,106
1039,106
1040,106
1041,107
1042,104
1043,102
1044,101
1045,101
1046,101
1047,101
1048,102
1049,102
1050,102
1051,101
1052,101
1053,102
1054,101
1055,98
1056,100
1057,100
1058,101
1059,99
1060,98
1061,98
1062,98
1063,98
1064,98
1065,97
1066,97
1067,96
1068,96
1069,96
1070,96
1071,97
1072,98
1073,99
1074,99
1075,99
1076,99
1077,98
1078,98
1079,98
1080,98
1081,98
1082,98
1083,99
1084,98
1085,98
1086,98
1087,98
1088,99
1089,99
1090,99
1091,98
1092,98
1093,99
1094,100
1095,98
1096,98
1097,99
1098,99
1099,99
1100,99
1101,99
1102,97
1103,97
1104,98
1105,96
1106,96
1107,96
1108,96
1109,97
1110,97
1111,97
1112,97
1113,97
1114,98
1115,97
1116,92
1117,92
1118,93
1119,92
1120,92
1121,92
1122,92
1123,93
1124,92
1125,92
1126,92
1127,92
1128,91
1129,90
1130,90
1131,89
1132,89
1133,90
1134,89
1135,89
1136,88
1137,87
1138,88
1139,89
1140,88
1141,88
1142,87
1143,87
1144,89
1145,94
1146,105
1147,114
1148,120
1149,127
1150,141
1151,148
1152,150
1153,149
1154,150
1155,150
1156,150
1157,151
1158,150
